Rank	Dataset	cut-off	confidence	sequence number	group number	min alignment length	fasta filename	classification filename
species	Coltricia	0.985	0.8417	101	29	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Cystolepiota	0.964	0.8176	48	11	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Craterellus	0.985	0.7924	99	22	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Auricularia	0.985	0.9417	236	14	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Pseudocercospora	0.993	0.8915	398	81	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Daldinia	0.987	0.9692	259	18	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Torula	0.964	0.9172	60	16	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Xanthocarpia	0.988	0.8318	33	10	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Ciboria	0.974	0.9311	39	10	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Calvatia	0.989	0.7985	96	18	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Coprinopsis	0.99	0.8013	235	63	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Laccaria	0.989	0.7985	153	26	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Coprinellus	0.99	0.8809	216	32	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Ascochyta	0.983	0.9447	103	19	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Pertusaria	0.959	0.8322	78	34	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Calocybe	0.927	0.9689	66	12	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Xeromphalina	0.983	0.8247	89	17	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Xylaria	0.971	0.8748	406	81	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Microascus	0.979	0.9583	188	26	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Tremella	0.983	0.901	263	68	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Marasmiellus	0.989	0.8435	71	25	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Usnea	0.988	0.8318	401	79	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Oidiodendron	0.969	0.8799	98	18	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Exophiala	0.969	0.9266	587	39	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Fomitopsis	0.985	0.9603	270	21	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Chrysosporium	0.983	0.882	118	26	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
species	Cutaneotrichosporon	0.983	0.9542	71	10	50	dikarya_fungi.species.fasta	dikarya_fungi.species.classification
